id,name,category,currentPrice,demand,stock,competitorPrice,sales,lastMonthSales,competitorPriceDifference,competitorPriceRatio,salesGrowth,stockToSalesRatio,recommendedPrice,aiRecommendedPrice,priceDifference,priceRecommendation
1,Premium Wireless Headphones,Electronics,2499,High,80,2699,120,110,200,1.080032012805122,0.0909090909090909,0.6666666666666666,2753,2584.36,85.36,Increase price
2,Smart Watch Pro,Smart Devices,3999,Moderate,55,3899,82,90,-100,0.9749937484371092,-0.0888888888888888,0.6707317073170732,3877,4196.02,197.02,Increase price
3,Premium Running Shoes,Fashion,2999,Very High,40,3199,150,125,200,1.0666888962987662,0.2,0.2666666666666666,3390,3932.38,933.38,Increase price
4,Modern Coffee Maker,Home Appliances,4599,Moderate,70,4499,63,60,-100,0.9782561426397044,0.05,1.1111111111111112,4417,4714.19,115.19,Increase price
5,Ergonomic Office Chair,Furniture,8999,High,25,9499,48,42,500,1.055561729081009,0.1428571428571428,0.5208333333333334,10105,9914.58,915.58,Increase price
6,Premium Travel Backpack,Accessories,1999,Moderate,90,1899,96,88,-100,0.9499749874937468,0.0909090909090909,0.9375,1920,2387.57,388.57,Increase price
7,Bluetooth Speaker,Electronics,1799,High,75,1899,112,105,100,1.055586436909394,0.0666666666666666,0.6696428571428571,1904,1933.34,134.34,Increase price
8,Gaming Mouse,Electronics,1299,Very High,120,1399,200,184,100,1.0769822940723637,0.0869565217391304,0.6,1383,1389.66,90.66,Increase price
9,Mechanical Keyboard,Electronics,3499,High,60,3599,88,81,100,1.0285795941697629,0.0864197530864197,0.6818181818181818,3703,3841.56,342.56,Increase price
10,Laptop Backpack,Accessories,1499,Moderate,95,1599,102,96,100,1.066711140760507,0.0625,0.931372549019608,1498,1549.38,50.38,Increase price
11,Air Fryer,Home Appliances,5999,High,50,6199,74,68,200,1.0333388898149691,0.088235294117647,0.6756756756756757,6349,6021.04,22.04,Increase price
12,LED Desk Lamp,Furniture,999,Moderate,130,1099,140,131,100,1.1001001001001,0.0687022900763358,0.9285714285714286,969,958.89,-40.11,Decrease price
13,Yoga Mat,Sports,799,Very High,140,899,190,176,100,1.1251564455569465,0.0795454545454545,0.7368421052631579,885,928.3,129.3,Increase price
14,Cricket Bat,Sports,2499,High,65,2599,72,69,100,1.040016006402561,0.0434782608695652,0.9027777777777778,2645,2795.36,296.36,Increase price
15,Wireless Charger,Electronics,899,Moderate,110,999,135,128,100,1.1112347052280311,0.0546875,0.8148148148148148,872,928.93,29.93,Increase price
16,Fitness Band,Smart Devices,2299,High,85,2399,122,116,100,1.0434971726837756,0.0517241379310344,0.6967213114754098,2433,2365.75,66.75,Increase price
17,Portable SSD,Electronics,5499,High,42,5699,64,59,200,1.0363702491362066,0.0847457627118644,0.65625,5820,5740.41,241.41,Increase price
18,Water Bottle,Accessories,499,Low,180,549,95,92,50,1.1002004008016033,0.0326086956521739,1.894736842105263,469,646.6,147.6,Increase price
19,Office Table,Furniture,12999,Moderate,18,13299,25,23,300,1.0230786983614124,0.0869565217391304,0.72,13384,16702.47,3703.47,Increase price
20,Noise Cancelling Earbuds,Electronics,4999,Very High,58,5199,146,137,200,1.04000800160032,0.0656934306569343,0.3972602739726027,5487,5237.04,238.04,Increase price
21,Digital Camera,Electronics,45999,Moderate,12,46999,14,13,1000,1.021739603034849,0.0769230769230769,0.8571428571428571,47360,40892.86,-5106.14,Decrease price
22,Smart TV 43 Inch,Electronics,32999,High,20,33999,28,24,1000,1.0303039486045031,0.1666666666666666,0.7142857142857143,37053,32729.7,-269.3,Decrease price
23,Mixer Grinder,Home Appliances,3499,Moderate,60,3599,58,55,100,1.0285795941697629,0.0545454545454545,1.0344827586206895,3498,3848.42,349.42,Increase price
24,Electric Kettle,Home Appliances,1599,High,92,1699,118,111,100,1.0625390869293307,0.063063063063063,0.7796610169491526,1692,1708.62,109.62,Increase price
25,Microwave Oven,Home Appliances,8999,Moderate,28,9299,35,33,300,1.0333370374486055,0.0606060606060606,0.8,9265,10756.6,1757.6,Increase price
26,Casual Shoes,Fashion,2199,Moderate,88,2299,104,98,100,1.045475216007276,0.0612244897959183,0.8461538461538461,2198,2242.99,43.99,Increase price
27,Leather Wallet,Fashion,999,Low,145,1099,86,84,100,1.1001001001001,0.0238095238095238,1.686046511627907,939,907.65,-91.35,Decrease price
28,Men's Jacket,Fashion,3499,High,54,3599,76,72,100,1.0285795941697629,0.0555555555555555,0.7105263157894737,3703,3853.48,354.48,Increase price
29,Sunglasses,Fashion,1799,High,77,1899,98,94,100,1.055586436909394,0.0425531914893617,0.7857142857142857,1904,1930.92,131.92,Increase price
30,Travel Suitcase,Accessories,4999,Moderate,48,5199,51,49,200,1.04000800160032,0.0408163265306122,0.9411764705882352,4997,5323.65,324.65,Increase price
