date,product_id,product_name,category,forecast_horizon,forecast_sales,confidence_score,currentPrice,stock,competitorPrice
2026-07,1,Premium Wireless Headphones,Electronics,Short-term,122,93.98,2499,80,2699
2026-08,1,Premium Wireless Headphones,Electronics,Short-term,120,92.93,2499,80,2699
2026-09,1,Premium Wireless Headphones,Electronics,Short-term,125,92.26,2499,80,2699
2026-10,1,Premium Wireless Headphones,Electronics,Medium-term,132,93.93,2499,80,2699
2026-11,1,Premium Wireless Headphones,Electronics,Medium-term,135,93.66,2499,80,2699
2026-12,1,Premium Wireless Headphones,Electronics,Medium-term,144,94.13,2499,80,2699
2027-01,1,Premium Wireless Headphones,Electronics,Long-term,119,89.94,2499,80,2699
2027-02,1,Premium Wireless Headphones,Electronics,Long-term,117,90.61,2499,80,2699
2027-03,1,Premium Wireless Headphones,Electronics,Long-term,137,92.29,2499,80,2699
2027-04,1,Premium Wireless Headphones,Electronics,Long-term,127,90.11,2499,80,2699
2027-05,1,Premium Wireless Headphones,Electronics,Long-term,137,91.93,2499,80,2699
2027-06,1,Premium Wireless Headphones,Electronics,Long-term,144,93.89,2499,80,2699
2026-07,2,Smart Watch Pro,Smart Devices,Short-term,90,93.69,3999,55,3899
2026-08,2,Smart Watch Pro,Smart Devices,Short-term,89,93.73,3999,55,3899
2026-09,2,Smart Watch Pro,Smart Devices,Short-term,89,93.02,3999,55,3899
2026-10,2,Smart Watch Pro,Smart Devices,Medium-term,94,92.87,3999,55,3899
2026-11,2,Smart Watch Pro,Smart Devices,Medium-term,95,93.82,3999,55,3899
2026-12,2,Smart Watch Pro,Smart Devices,Medium-term,97,92.95,3999,55,3899
2027-01,2,Smart Watch Pro,Smart Devices,Long-term,89,89.6,3999,55,3899
2027-02,2,Smart Watch Pro,Smart Devices,Long-term,89,93.2,3999,55,3899
2027-03,2,Smart Watch Pro,Smart Devices,Long-term,88,93.75,3999,55,3899
2027-04,2,Smart Watch Pro,Smart Devices,Long-term,89,93.83,3999,55,3899
2027-05,2,Smart Watch Pro,Smart Devices,Long-term,89,93.81,3999,55,3899
2027-06,2,Smart Watch Pro,Smart Devices,Long-term,89,93.54,3999,55,3899
2026-07,3,Premium Running Shoes,Fashion,Short-term,151,90.95,2999,40,3199
2026-08,3,Premium Running Shoes,Fashion,Short-term,144,93.25,2999,40,3199
2026-09,3,Premium Running Shoes,Fashion,Short-term,146,92.22,2999,40,3199
2026-10,3,Premium Running Shoes,Fashion,Medium-term,158,92.84,2999,40,3199
2026-11,3,Premium Running Shoes,Fashion,Medium-term,163,91.11,2999,40,3199
2026-12,3,Premium Running Shoes,Fashion,Medium-term,169,88.97,2999,40,3199
2027-01,3,Premium Running Shoes,Fashion,Long-term,149,85.79,2999,40,3199
2027-02,3,Premium Running Shoes,Fashion,Long-term,134,89.68,2999,40,3199
2027-03,3,Premium Running Shoes,Fashion,Long-term,143,94.3,2999,40,3199
2027-04,3,Premium Running Shoes,Fashion,Long-term,150,96.57,2999,40,3199
2027-05,3,Premium Running Shoes,Fashion,Long-term,150,96.12,2999,40,3199
2027-06,3,Premium Running Shoes,Fashion,Long-term,147,94.7,2999,40,3199
2026-07,4,Modern Coffee Maker,Home Appliances,Short-term,74,92.86,4599,70,4499
2026-08,4,Modern Coffee Maker,Home Appliances,Short-term,73,93.53,4599,70,4499
2026-09,4,Modern Coffee Maker,Home Appliances,Short-term,73,92.91,4599,70,4499
2026-10,4,Modern Coffee Maker,Home Appliances,Medium-term,76,92.94,4599,70,4499
2026-11,4,Modern Coffee Maker,Home Appliances,Medium-term,76,93.31,4599,70,4499
2026-12,4,Modern Coffee Maker,Home Appliances,Medium-term,77,93.64,4599,70,4499
2027-01,4,Modern Coffee Maker,Home Appliances,Long-term,65,89.62,4599,70,4499
2027-02,4,Modern Coffee Maker,Home Appliances,Long-term,64,92.84,4599,70,4499
2027-03,4,Modern Coffee Maker,Home Appliances,Long-term,72,91.56,4599,70,4499
2027-04,4,Modern Coffee Maker,Home Appliances,Long-term,73,93.01,4599,70,4499
2027-05,4,Modern Coffee Maker,Home Appliances,Long-term,74,93.36,4599,70,4499
2027-06,4,Modern Coffee Maker,Home Appliances,Long-term,73,93.35,4599,70,4499
2026-07,5,Ergonomic Office Chair,Furniture,Short-term,48,93.48,8999,25,9499
2026-08,5,Ergonomic Office Chair,Furniture,Short-term,47,92.54,8999,25,9499
2026-09,5,Ergonomic Office Chair,Furniture,Short-term,48,92.67,8999,25,9499
2026-10,5,Ergonomic Office Chair,Furniture,Medium-term,49,92.74,8999,25,9499
2026-11,5,Ergonomic Office Chair,Furniture,Medium-term,49,92.72,8999,25,9499
2026-12,5,Ergonomic Office Chair,Furniture,Medium-term,49,92.56,8999,25,9499
2027-01,5,Ergonomic Office Chair,Furniture,Long-term,47,93.38,8999,25,9499
2027-02,5,Ergonomic Office Chair,Furniture,Long-term,48,93.48,8999,25,9499
2027-03,5,Ergonomic Office Chair,Furniture,Long-term,48,94.32,8999,25,9499
2027-04,5,Ergonomic Office Chair,Furniture,Long-term,48,94.34,8999,25,9499
2027-05,5,Ergonomic Office Chair,Furniture,Long-term,48,94.85,8999,25,9499
2027-06,5,Ergonomic Office Chair,Furniture,Long-term,48,94.27,8999,25,9499
2026-07,6,Premium Travel Backpack,Accessories,Short-term,111,91.93,1999,90,1899
2026-08,6,Premium Travel Backpack,Accessories,Short-term,110,92.25,1999,90,1899
2026-09,6,Premium Travel Backpack,Accessories,Short-term,114,92.16,1999,90,1899
2026-10,6,Premium Travel Backpack,Accessories,Medium-term,122,90.38,1999,90,1899
2026-11,6,Premium Travel Backpack,Accessories,Medium-term,126,90.45,1999,90,1899
2026-12,6,Premium Travel Backpack,Accessories,Medium-term,131,92.75,1999,90,1899
2027-01,6,Premium Travel Backpack,Accessories,Long-term,112,90.49,1999,90,1899
2027-02,6,Premium Travel Backpack,Accessories,Long-term,108,88.64,1999,90,1899
2027-03,6,Premium Travel Backpack,Accessories,Long-term,113,91.27,1999,90,1899
2027-04,6,Premium Travel Backpack,Accessories,Long-term,116,90.72,1999,90,1899
2027-05,6,Premium Travel Backpack,Accessories,Long-term,119,90.73,1999,90,1899
2027-06,6,Premium Travel Backpack,Accessories,Long-term,122,92.21,1999,90,1899
2026-07,7,Bluetooth Speaker,Electronics,Short-term,122,91.76,1799,75,1899
2026-08,7,Bluetooth Speaker,Electronics,Short-term,129,90.95,1799,75,1899
2026-09,7,Bluetooth Speaker,Electronics,Short-term,136,92.09,1799,75,1899
2026-10,7,Bluetooth Speaker,Electronics,Medium-term,144,93.45,1799,75,1899
2026-11,7,Bluetooth Speaker,Electronics,Medium-term,150,92.37,1799,75,1899
2026-12,7,Bluetooth Speaker,Electronics,Medium-term,153,90.97,1799,75,1899
2027-01,7,Bluetooth Speaker,Electronics,Long-term,126,87.51,1799,75,1899
2027-02,7,Bluetooth Speaker,Electronics,Long-term,119,90.77,1799,75,1899
2027-03,7,Bluetooth Speaker,Electronics,Long-term,143,93.88,1799,75,1899
2027-04,7,Bluetooth Speaker,Electronics,Long-term,143,93.12,1799,75,1899
2027-05,7,Bluetooth Speaker,Electronics,Long-term,148,94.63,1799,75,1899
2027-06,7,Bluetooth Speaker,Electronics,Long-term,148,94.07,1799,75,1899
2026-07,8,Gaming Mouse,Electronics,Short-term,194,92.91,1299,120,1399
2026-08,8,Gaming Mouse,Electronics,Short-term,196,93.72,1299,120,1399
2026-09,8,Gaming Mouse,Electronics,Short-term,197,92.9,1299,120,1399
2026-10,8,Gaming Mouse,Electronics,Medium-term,216,92.3,1299,120,1399
2026-11,8,Gaming Mouse,Electronics,Medium-term,211,94.26,1299,120,1399
2026-12,8,Gaming Mouse,Electronics,Medium-term,213,93.71,1299,120,1399
2027-01,8,Gaming Mouse,Electronics,Long-term,189,90.48,1299,120,1399
2027-02,8,Gaming Mouse,Electronics,Long-term,197,92.53,1299,120,1399
2027-03,8,Gaming Mouse,Electronics,Long-term,194,92.44,1299,120,1399
2027-04,8,Gaming Mouse,Electronics,Long-term,198,93.84,1299,120,1399
2027-05,8,Gaming Mouse,Electronics,Long-term,197,93.75,1299,120,1399
2027-06,8,Gaming Mouse,Electronics,Long-term,197,94.05,1299,120,1399
2026-07,9,Mechanical Keyboard,Electronics,Short-term,94,90.17,3499,60,3599
2026-08,9,Mechanical Keyboard,Electronics,Short-term,91,94.01,3499,60,3599
2026-09,9,Mechanical Keyboard,Electronics,Short-term,91,91.96,3499,60,3599
2026-10,9,Mechanical Keyboard,Electronics,Medium-term,95,93.27,3499,60,3599
2026-11,9,Mechanical Keyboard,Electronics,Medium-term,97,93.42,3499,60,3599
2026-12,9,Mechanical Keyboard,Electronics,Medium-term,99,92.31,3499,60,3599
2027-01,9,Mechanical Keyboard,Electronics,Long-term,93,90.06,3499,60,3599
2027-02,9,Mechanical Keyboard,Electronics,Long-term,92,92.18,3499,60,3599
2027-03,9,Mechanical Keyboard,Electronics,Long-term,90,92.33,3499,60,3599
2027-04,9,Mechanical Keyboard,Electronics,Long-term,90,93.89,3499,60,3599
2027-05,9,Mechanical Keyboard,Electronics,Long-term,90,93.93,3499,60,3599
2027-06,9,Mechanical Keyboard,Electronics,Long-term,90,93.79,3499,60,3599
2026-07,10,Laptop Backpack,Accessories,Short-term,115,90.76,1499,95,1599
2026-08,10,Laptop Backpack,Accessories,Short-term,116,91.21,1499,95,1599
2026-09,10,Laptop Backpack,Accessories,Short-term,117,90.77,1499,95,1599
2026-10,10,Laptop Backpack,Accessories,Medium-term,123,89.23,1499,95,1599
2026-11,10,Laptop Backpack,Accessories,Medium-term,125,89.88,1499,95,1599
2026-12,10,Laptop Backpack,Accessories,Medium-term,128,89.74,1499,95,1599
2027-01,10,Laptop Backpack,Accessories,Long-term,108,90.0,1499,95,1599
2027-02,10,Laptop Backpack,Accessories,Long-term,106,89.76,1499,95,1599
2027-03,10,Laptop Backpack,Accessories,Long-term,111,90.82,1499,95,1599
2027-04,10,Laptop Backpack,Accessories,Long-term,110,92.48,1499,95,1599
2027-05,10,Laptop Backpack,Accessories,Long-term,113,91.97,1499,95,1599
2027-06,10,Laptop Backpack,Accessories,Long-term,115,90.7,1499,95,1599
2026-07,11,Air Fryer,Home Appliances,Short-term,76,93.86,5999,50,6199
2026-08,11,Air Fryer,Home Appliances,Short-term,76,93.93,5999,50,6199
2026-09,11,Air Fryer,Home Appliances,Short-term,76,93.84,5999,50,6199
2026-10,11,Air Fryer,Home Appliances,Medium-term,78,94.19,5999,50,6199
2026-11,11,Air Fryer,Home Appliances,Medium-term,78,94.05,5999,50,6199
2026-12,11,Air Fryer,Home Appliances,Medium-term,78,93.8,5999,50,6199
