id,name,category,currentPrice,demand,stock,competitorPrice,sales,lastMonthSales,competitorPriceDifference,competitorPriceRatio,salesGrowth,stockToSalesRatio,recommendedPrice,aiRecommendedPrice
1,Premium Wireless Headphones,Electronics,2499,High,80,2699,120,110,200,1.080032012805122,0.09090909090909091,0.6666666666666666,2753,2584
2,Smart Watch Pro,Smart Devices,3999,Moderate,55,3899,82,90,-100,0.9749937484371093,-0.08888888888888889,0.6707317073170732,3877,4196
3,Premium Running Shoes,Fashion,2999,Very High,40,3199,150,125,200,1.0666888962987662,0.2,0.26666666666666666,3390,3932
4,Modern Coffee Maker,Home Appliances,4599,Moderate,70,4499,63,60,-100,0.9782561426397043,0.05,1.1111111111111112,4417,4714
5,Ergonomic Office Chair,Furniture,8999,High,25,9499,48,42,500,1.055561729081009,0.14285714285714285,0.5208333333333334,10105,9915
6,Premium Travel Backpack,Accessories,1999,Moderate,90,1899,96,88,-100,0.9499749874937469,0.09090909090909091,0.9375,1920,2388
7,Bluetooth Speaker,Electronics,1799,High,75,1899,112,105,100,1.0555864369093941,0.06666666666666667,0.6696428571428571,1904,1933
8,Gaming Mouse,Electronics,1299,Very High,120,1399,200,184,100,1.0769822940723635,0.08695652173913043,0.6,1383,1390
9,Mechanical Keyboard,Electronics,3499,High,60,3599,88,81,100,1.0285795941697629,0.08641975308641975,0.6818181818181818,3703,3842
10,Laptop Backpack,Accessories,1499,Moderate,95,1599,102,96,100,1.066711140760507,0.0625,0.9313725490196079,1498,1549
11,Air Fryer,Home Appliances,5999,High,50,6199,74,68,200,1.0333388898149691,0.08823529411764706,0.6756756756756757,6349,6021
12,LED Desk Lamp,Furniture,999,Moderate,130,1099,140,131,100,1.1001001001001,0.06870229007633588,0.9285714285714286,969,959
13,Yoga Mat,Sports,799,Very High,140,899,190,176,100,1.1251564455569463,0.07954545454545454,0.7368421052631579,885,928
14,Cricket Bat,Sports,2499,High,65,2599,72,69,100,1.040016006402561,0.043478260869565216,0.9027777777777778,2645,2795
15,Wireless Charger,Electronics,899,Moderate,110,999,135,128,100,1.1112347052280311,0.0546875,0.8148148148148148,872,929
16,Fitness Band,Smart Devices,2299,High,85,2399,122,116,100,1.0434971726837756,0.05172413793103448,0.6967213114754098,2433,2366
17,Portable SSD,Electronics,5499,High,42,5699,64,59,200,1.0363702491362066,0.0847457627118644,0.65625,5820,5740
18,Water Bottle,Accessories,499,Low,180,549,95,92,50,1.1002004008016033,0.03260869565217391,1.894736842105263,469,647
19,Office Table,Furniture,12999,Moderate,18,13299,25,23,300,1.0230786983614124,0.08695652173913043,0.72,13384,16702
20,Noise Cancelling Earbuds,Electronics,4999,Very High,58,5199,146,137,200,1.0400080016003201,0.06569343065693431,0.3972602739726027,5487,5237
21,Digital Camera,Electronics,45999,Moderate,12,46999,14,13,1000,1.0217396030348487,0.07692307692307693,0.8571428571428571,47360,40893
22,Smart TV 43 Inch,Electronics,32999,High,20,33999,28,24,1000,1.0303039486045031,0.16666666666666666,0.7142857142857143,37053,32730
23,Mixer Grinder,Home Appliances,3499,Moderate,60,3599,58,55,100,1.0285795941697629,0.05454545454545454,1.0344827586206897,3498,3848
24,Electric Kettle,Home Appliances,1599,High,92,1699,118,111,100,1.0625390869293307,0.06306306306306306,0.7796610169491526,1692,1709
25,Microwave Oven,Home Appliances,8999,Moderate,28,9299,35,33,300,1.0333370374486055,0.06060606060606061,0.8,9265,10757
26,Casual Shoes,Fashion,2199,Moderate,88,2299,104,98,100,1.045475216007276,0.061224489795918366,0.8461538461538461,2198,2243
27,Leather Wallet,Fashion,999,Low,145,1099,86,84,100,1.1001001001001,0.023809523809523808,1.686046511627907,939,908
28,Men's Jacket,Fashion,3499,High,54,3599,76,72,100,1.0285795941697629,0.05555555555555555,0.7105263157894737,3703,3853
29,Sunglasses,Fashion,1799,High,77,1899,98,94,100,1.0555864369093941,0.0425531914893617,0.7857142857142857,1904,1931
30,Travel Suitcase,Accessories,4999,Moderate,48,5199,51,49,200,1.0400080016003201,0.04081632653061224,0.9411764705882353,4997,5324
