date,product_id,product_name,category,sales
2025-01,1,Premium Wireless Headphones,Electronics,110
2025-02,1,Premium Wireless Headphones,Electronics,107
2025-03,1,Premium Wireless Headphones,Electronics,118
2025-04,1,Premium Wireless Headphones,Electronics,131
2025-05,1,Premium Wireless Headphones,Electronics,118
2025-06,1,Premium Wireless Headphones,Electronics,119
2025-07,1,Premium Wireless Headphones,Electronics,126
2025-08,1,Premium Wireless Headphones,Electronics,121
2025-09,1,Premium Wireless Headphones,Electronics,112
2025-10,1,Premium Wireless Headphones,Electronics,138
2025-11,1,Premium Wireless Headphones,Electronics,130
2025-12,1,Premium Wireless Headphones,Electronics,130
2026-01,1,Premium Wireless Headphones,Electronics,113
2026-02,1,Premium Wireless Headphones,Electronics,99
2026-03,1,Premium Wireless Headphones,Electronics,106
2026-04,1,Premium Wireless Headphones,Electronics,120
2026-05,1,Premium Wireless Headphones,Electronics,117
2026-06,1,Premium Wireless Headphones,Electronics,127
2025-01,2,Smart Watch Pro,Smart Devices,74
2025-02,2,Smart Watch Pro,Smart Devices,72
2025-03,2,Smart Watch Pro,Smart Devices,91
2025-04,2,Smart Watch Pro,Smart Devices,87
2025-05,2,Smart Watch Pro,Smart Devices,88
2025-06,2,Smart Watch Pro,Smart Devices,81
2025-07,2,Smart Watch Pro,Smart Devices,82
2025-08,2,Smart Watch Pro,Smart Devices,85
2025-09,2,Smart Watch Pro,Smart Devices,79
2025-10,2,Smart Watch Pro,Smart Devices,100
2025-11,2,Smart Watch Pro,Smart Devices,95
2025-12,2,Smart Watch Pro,Smart Devices,97
2026-01,2,Smart Watch Pro,Smart Devices,79
2026-02,2,Smart Watch Pro,Smart Devices,91
2026-03,2,Smart Watch Pro,Smart Devices,86
2026-04,2,Smart Watch Pro,Smart Devices,85
2026-05,2,Smart Watch Pro,Smart Devices,96
2026-06,2,Smart Watch Pro,Smart Devices,85
2025-01,3,Premium Running Shoes,Fashion,131
2025-02,3,Premium Running Shoes,Fashion,115
2025-03,3,Premium Running Shoes,Fashion,126
2025-04,3,Premium Running Shoes,Fashion,146
2025-05,3,Premium Running Shoes,Fashion,151
2025-06,3,Premium Running Shoes,Fashion,147
2025-07,3,Premium Running Shoes,Fashion,138
2025-08,3,Premium Running Shoes,Fashion,137
2025-09,3,Premium Running Shoes,Fashion,127
2025-10,3,Premium Running Shoes,Fashion,154
2025-11,3,Premium Running Shoes,Fashion,157
2025-12,3,Premium Running Shoes,Fashion,172
2026-01,3,Premium Running Shoes,Fashion,137
2026-02,3,Premium Running Shoes,Fashion,120
2026-03,3,Premium Running Shoes,Fashion,145
2026-04,3,Premium Running Shoes,Fashion,146
2026-05,3,Premium Running Shoes,Fashion,144
2026-06,3,Premium Running Shoes,Fashion,156
2025-01,4,Modern Coffee Maker,Home Appliances,61
2025-02,4,Modern Coffee Maker,Home Appliances,61
