month,month_name,total_sales,average_sales,product_count,seasonal_index,seasonal_trend
1,January,5161,86.02,60,0.912,Normal Season
2,February,5035,83.92,60,0.89,Low Season
3,March,5426,90.43,60,0.959,Normal Season
4,April,5698,94.97,60,1.007,Normal Season
5,May,5662,94.37,60,1.001,Normal Season
6,June,5810,96.83,60,1.027,Normal Season
7,July,2710,90.33,30,0.958,Normal Season
8,August,2685,89.5,30,0.949,Normal Season
9,September,2677,89.23,30,0.946,Normal Season
10,October,3154,105.13,30,1.115,High Season
11,November,3133,104.43,30,1.108,High Season
12,December,3188,106.27,30,1.127,High Season
